jobid,n_samples,highly_variable,n_epochs,eigen_factor_used,wall_clock_time,memory_used,node,cpu_efficiency
325979,10000,3000,5,false,00:15:41,20.70,c4-n29,95.86%
325982,50000,3000,5,false,00:35:16,24.79,c4-n29,98.35%
325985,100000,3000,5,false,01:36:35,32.60,c4-n29,98.71%
325988,-1,3000,5,false,03:02:08,48.52,c4-n26,98.98%
326190,10000,3000,100,false,01:32:33,20.74,c4-n26,98.60%
326203,50000,3000,100,false,02:23:21,26.64,c4-n26,98.44%
326209,-1,3000,100,false,03:03:00,50.52,c4-n26,98.30%
326206,100000,3000,100,false,03:08:25,33.48,c4-n26,99.04%
328921,100000,3000,1000,false,09:15:09,34.50,c4-n29,99.17%
328924,100000,3000,2000,false,17:47:30,34.56,c4-n31,99.32%
328931,100000,3000,7000,false,1-12:31:34,34.60,c4-n29,99.54%
328927,100000,3000,5000,false,1-19:30:27,34.51,c4-n26,99.54%
328934,100000,3000,10000,false,2-11:48:23,34.50,c4-n29,99.50%
341680,1000,3000,2,false,00:03:49,16.05,c4-n18,29.37%
341683,1000,3000,2,true,00:04:50,18.20,c4-n35,29.40%
341770,100000,3000,1000,false,06:11:33,34.50,c4-n35,97.42%
341783,100000,3000,2000,false,10:44:57,34.61,c4-n35,98.43%
341767,100000,3000,1000,true,14:01:01,35.05,c4-n18,97.38%
341775,100000,3000,2000,true,14:06:13,35.38,c4-n35,98.70%
341794,100000,3000,5000,false,1-03:02:41,34.54,c4-n1,98.70%
341788,100000,3000,5000,true,1-09:03:44,35.30,c4-n35,99.19%
341800,100000,3000,7000,false,1-14:45:32,34.55,c4-n4,98.45%
341811,100000,3000,10000,false,1-20:23:07,34.71,c4-n2,99.37%
341797,100000,3000,7000,true,1-23:20:20,35.21,c4-n3,98.82%
341803,100000,3000,10000,true,2-20:23:51,35.20,c4-n5,99.03%
361275,-1,1000,1,true,00:30:22,43.53,c4-n18,89.34%
361314,100000,3000,10000,true,4-03:30:01,41.96,c4-n18,98.85%
361317,-1,3000,10000,true,4-12:03:54,60.04,c4-n18,98.83%
